cod_comuna,comuna,poblacion,conteo_establecimientos_salud,tasa_salud_10k,conteo_establecimientos_educacion,tasa_educacion_escolar_10k,conteo_establecimientos_educacion_superior,tasa_educacion_superior_10k,conteo_cuarteles_carabineros,tasa_carabineros_10k,conteo_companias_bomberos,tasa_bomberos_10k,conteo_paradas_metro_tren,tasa_metro_tren_10k,conteo_paradas_micro,tasa_micro_10k,conteo_infraestructura_deportiva,tasa_deporte_infra_10k,conteo_municipios,tasa_municipios_10k,conteo_ferias_libres,tasa_ferias_libres_10k,conteo_areas_verdes,tasa_areas_verdes_10k,conteo_osm_iglesias,tasa_iglesias_10k,conteo_osm_museos,tasa_museos_10k,conteo_osm_supermercados,tasa_supermercados_10k,conteo_osm_almacenes_barrio,tasa_almacenes_barrio_10k,conteo_osm_bancos,tasa_bancos_10k,conteo_osm_malls,tasa_malls_10k,conteo_osm_bencineras,tasa_bencineras_10k,conteo_osm_estadios,tasa_estadios_10k
13504,María Pinto,15352,5,3.2569046378322044,7,4.559666492965086,0,0.0,1,0.6513809275664408,2,1.3027618551328817,0,0.0,0,0.0,26,16.935904116727464,1,0.6513809275664408,1,0.6513809275664408,5,3.2569046378322044,3,1.9541427826993225,0,0.0,5,3.2569046378322044,13,8.467952058363732,0,0.0,2,1.3027618551328817,1,0.6513809275664408,0,0.0
13501,Melipilla,136325,24,1.7604988079955988,67,4.914725838987713,1,0.07335411699981662,5,0.3667705849990831,5,0.3667705849990831,0,0.0,0,0.0,136,9.976159911975058,1,0.07335411699981662,1,0.07335411699981662,130,9.53603520997616,6,0.4401247019988997,0,0.0,9,0.6601870529983495,23,1.6871446909957821,0,0.0,0,0.0,11,0.8068952869979829,1,0.07335411699981662
13604,Padre Hurtado,81243,3,0.3692625826225029,34,4.184975936388366,0,0.0,2,0.2461750550816686,2,0.2461750550816686,0,0.0,50,6.154376377041714,48,5.908201321960046,1,0.1230875275408343,0,0.0,53,6.523638959664217,12,1.4770503304900116,0,0.0,5,0.6154376377041714,37,4.554238519010869,1,0.1230875275408343,1,0.1230875275408343,4,0.4923501101633372,0,0.0
13404,Paine,78828,12,1.5223017202009437,39,4.9474805906530674,0,0.0,5,0.63429238341706,5,0.63429238341706,2,0.253716953366824,0,0.0,87,11.036687471456842,1,0.126858476683412,4,0.507433906733648,74,9.387527274572486,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.8880093367838839,0,0.0
13121,Pedro Aguirre Cerda,96062,13,1.3532926651537547,50,5.204971789052903,0,0.0,4,0.4163977431242323,2,0.20819887156211614,2,0.20819887156211614,185,19.258395619495744,101,10.514043013886864,1,0.10409943578105807,7,0.7286960504674065,165,17.17640690387458,18,1.873789844059045,0,0.0,7,0.7286960504674065,14,1.457392100934813,4,0.4163977431242323,1,0.10409943578105807,7,0.7286960504674065,1,0.10409943578105807
13605,Peñaflor,94402,13,1.3770894684434654,56,5.932077710218003,0,0.0,2,0.21185991822207156,3,0.3177898773331074,0,0.0,0,0.0,89,9.427766360882185,1,0.10592995911103578,2,0.21185991822207156,3,0.3177898773331074,11,1.1652295502213936,0,0.0,11,1.1652295502213936,30,3.1778987733310733,1,0.10592995911103578,1,0.10592995911103578,10,1.0592995911103578,1,0.10592995911103578
13122,Peñalolén,236478,28,1.1840424902105058,71,3.002393457319497,6,0.2537233907593941,3,0.12686169537969705,1,0.04228723179323235,0,0.0,445,18.817818147988397,158,6.681382623330712,1,0.04228723179323235,8,0.3382978543458588,107,4.524733801875862,14,0.5920212451052529,3,0.12686169537969705,21,0.8880318676578794,35,1.4800531127631322,13,0.5497340133120207,4,0.1691489271729294,14,0.5920212451052529,2,0.0845744635864647
13202,Pirque,29060,7,2.4088093599449416,11,3.785271851342051,1,0.3441156228492774,1,0.3441156228492774,1,0.3441156228492774,0,0.0,0,0.0,42,14.452856159669649,1,0.3441156228492774,0,0.0,1,0.3441156228492774,2,0.6882312456985548,1,0.3441156228492774,4,1.3764624913971095,0,0.0,2,0.6882312456985548,0,0.0,2,0.6882312456985548,0,0.0
13123,Providencia,143974,103,7.154069484768083,45,3.125564338005473,75,5.209273896675788,2,0.13891397057802105,2,0.13891397057802105,0,0.0,316,21.948407351327326,56,3.889591176184589,1,0.06945698528901052,0,0.0,79,5.4871018378318315,40,2.778279411560421,11,0.7640268381791157,25,1.7364246322252628,133,9.237779043438398,64,4.4452470584966735,6,0.4167419117340631,23,1.5975106616472419,0,0.0
13124,Pudahuel,227820,27,1.18514616802739,63,2.7653410587305767,0,0.0,4,0.17557721007813185,2,0.08778860503906592,0,0.0,552,24.229654990782198,134,5.881836537617417,1,0.04389430251953296,6,0.2633658151171978,72,3.1603897814063733,20,0.8778860503906594,0,0.0,16,0.7023088403125274,57,2.501975243613379,5,0.21947151259766484,6,0.2633658151171978,13,0.5706259327539285,1,0.04389430251953296
